image,instance_id,area_px,area_fraction,area_bin,k,void_px,population_n,random_baseline,bbox_top,bbox_left,bbox_bottom,bbox_right,aspect_ratio,aspect_class,queryable_grid7,queryable_grid14,measurable_by_all
2007_002055,2,4884,0.0973373724489796,5-10%,4884,2555,47621,0.10255979504840301,87,2,223,97,0.7007299270072993,square,True,True,True
2007_002088,1,32167,0.6410833864795918,>=40%,32167,1856,48320,0.6657077814569536,16,0,223,223,1.0769230769230769,square,True,True,True
2007_002120,1,927,0.0184749681122449,<2%,927,2409,47767,0.019406703372621265,23,101,53,170,2.2580645161290325,wide,True,True,True
2007_002216,2,23599,0.47032445790816324,>=40%,23599,1760,48416,0.4874215135492399,67,0,210,206,1.4375,square,True,True,True
2007_002234,2,645,0.012854751275510204,<2%,645,1702,48474,0.013306102240376285,69,0,93,40,1.64,wide,True,True,True
2007_002284,4,823,0.016402264030612245,<2%,823,2323,47853,0.017198503751070987,0,102,37,130,0.7631578947368421,square,True,True,True
2007_002293,1,21109,0.42069913903061223,>=40%,21109,1864,48312,0.43693078324225865,0,0,223,174,0.78125,square,True,True,True
2007_002368,2,1996,0.03977997448979592,2-5%,1996,3660,46516,0.04290996646315246,159,192,223,223,0.49230769230769234,tall,True,True,True
2007_002488,1,3031,0.06040736607142857,5-10%,3031,5841,44335,0.06836585090786061,10,67,176,155,0.5329341317365269,tall,True,True,True
2007_002539,1,43265,0.8622648278061225,>=40%,43265,1230,48946,0.8839333142646999,0,0,222,223,1.0044843049327354,square,True,True,True
2007_002668,1,6318,0.1259167729591837,10-20%,6318,2467,47709,0.13242784380305603,186,17,223,223,5.447368421052632,wide,True,True,True
2007_002760,2,21822,0.43490911989795916,>=40%,21822,1937,48239,0.45237256162026573,4,0,197,136,0.7061855670103093,square,True,True,True
2007_002789,2,1372,0.02734375,2-5%,1372,1595,48581,0.02824149358802824,99,0,149,55,1.0980392156862746,square,True,True,True
2007_002896,1,6290,0.12535873724489796,10-20%,6290,1977,48199,0.13050063279321147,6,70,209,148,0.3872549019607843,tall,True,True,True
2007_002903,1,35791,0.7133091517857143,>=40%,35791,2377,47799,0.7487813552584782,13,0,219,223,1.0821256038647342,square,True,True,True
2007_002953,1,1882,0.03750797193877551,2-5%,1882,3475,46701,0.04029892293526905,63,0,196,16,0.12686567164179105,tall,True,True,True
2007_002953,5,1147,0.02285953443877551,2-5%,1147,3475,46701,0.024560501916447184,38,17,75,56,1.0526315789473684,square,True,True,True
2007_003022,1,7396,0.1474011479591837,10-20%,7396,3575,46601,0.15870904057852836,57,48,193,223,1.2846715328467153,square,True,True,True
2007_003051,1,8921,0.1777941645408163,10-20%,8921,982,49194,0.18134325324226533,56,0,138,133,1.6144578313253013,wide,True,True,True
2007_003101,3,14896,0.296875,20-40%,14896,1861,48315,0.30831004863913897,0,0,199,84,0.425,tall,True,True,True
2007_003118,1,1490,0.02969547193877551,2-5%,1490,2677,47499,0.03136908145434641,15,85,72,135,0.8793103448275862,square,True,True,True
2007_003118,4,18444,0.36758609693877553,20-40%,18444,2677,47499,0.38830291164024505,49,29,223,204,1.0057142857142858,square,True,True,True
2007_003131,1,1544,0.03077168367346939,2-5%,1544,638,49538,0.031167992248374986,150,172,219,217,0.6571428571428571,tall,True,True,True
2007_003134,2,5961,0.11880181760204081,10-20%,5961,3586,46590,0.12794591113972956,45,61,173,140,0.6201550387596899,tall,True,True,True
2007_003189,2,1134,0.022600446428571428,2-5%,1134,1947,48229,0.023512824234381804,19,82,122,136,0.5288461538461539,tall,True,True,True
2007_003190,1,2678,0.05337213010204082,5-10%,2678,3753,46423,0.057686922430691685,0,59,84,168,1.2941176470588236,square,True,True,True
2007_003201,1,4751,0.09468670280612244,5-10%,4751,4201,45975,0.10333877107123436,38,0,179,49,0.352112676056338,tall,True,True,True
2007_003201,2,20600,0.41055484693877553,>=40%,20600,4201,45975,0.4480696030451332,20,32,209,223,1.0105263157894737,square,True,True,True
2007_003207,9,2079,0.04143415178571429,2-5%,2079,3449,46727,0.04449247758255399,83,150,167,181,0.3764705882352941,tall,True,True,True
2007_003251,4,1296,0.025829081632653062,2-5%,1296,4492,45684,0.028368794326241134,106,29,195,91,0.7,square,True,True,True
2007_003367,3,901,0.017956792091836735,<2%,901,3657,46519,0.019368430103828542,127,0,177,25,0.5098039215686274,tall,True,True,True
2007_003451,1,3878,0.07728794642857142,5-10%,3878,1762,48414,0.08010079729004008,105,104,151,215,2.382978723404255,wide,True,True,True
2007_003580,1,31141,0.6206353635204082,>=40%,31141,1762,48414,0.643223034659396,0,0,223,198,0.8883928571428571,square,True,True,True
2007_003711,2,20428,0.40712691326530615,>=40%,20428,1643,48533,0.4209094842684359,49,59,194,223,1.13013698630137,square,True,True,True
2007_003778,1,13727,0.27357700892857145,20-40%,13727,3127,47049,0.29175965482794536,30,18,206,197,1.0169491525423728,square,True,True,True
2007_003815,1,6980,0.13911033163265307,10-20%,6980,2124,48052,0.14525930242237575,74,70,138,223,2.3692307692307693,wide,True,True,True
2007_004081,1,2169,0.04322783801020408,2-5%,2169,5393,44783,0.04843355737668312,57,70,121,159,1.3846153846153846,square,True,True,True
2007_004121,3,994,0.019810267857142856,<2%,994,1822,48354,0.020556727468254953,96,55,147,93,0.75,square,True,True,True
2007_004537,4,1619,0.03226642219387755,2-5%,1619,7559,42617,0.037989534692728255,53,50,118,167,1.7878787878787878,wide,True,True,True
2007_004558,2,870,0.017338966836734693,<2%,870,2181,47995,0.01812688821752266,61,87,99,119,0.8461538461538461,square,True,True,True
2007_004649,2,894,0.017817283163265307,<2%,894,2187,47989,0.018629269207526725,90,204,137,223,0.4166666666666667,tall,True,True,True
2007_004707,1,879,0.017518335459183673,<2%,879,1199,48977,0.01794719970598444,175,147,223,191,0.9183673469387755,square,True,True,True
2007_004856,1,26887,0.5358537946428571,>=40%,26887,1539,48637,0.5528095894072415,0,24,223,199,0.7857142857142857,square,True,True,True
2007_005074,1,10711,0.2134685905612245,20-40%,10711,2530,47646,0.22480376107123368,0,0,193,200,1.0360824742268042,square,True,True,True
2007_005130,1,5057,0.10078523596938775,10-20%,5057,968,49208,0.10276784262721508,60,52,192,147,0.7218045112781954,square,True,True,True
2007_005173,12,990,0.019730548469387755,<2%,990,6789,43387,0.022817894761103557,1,189,56,221,0.5892857142857143,tall,True,True,True
2007_005173,14,1217,0.024254623724489797,2-5%,1217,6789,43387,0.028049876691174775,0,51,59,80,0.5,tall,True,True,True
2007_005173,16,624,0.012436224489795918,<2%,624,6789,43387,0.014382188213059212,1,2,36,28,0.75,square,True,True,True
2007_005212,1,1030,0.020527742346938774,2-5%,1030,1721,48455,0.021256836239810135,137,182,175,223,1.0769230769230769,square,True,True,True
2007_005266,2,680,0.013552295918367346,<2%,680,3149,47027,0.014459778425160014,97,68,142,112,0.9782608695652174,square,True,True,True
2007_005266,3,830,0.016541772959183673,<2%,830,3149,47027,0.017649435430710018,95,140,142,190,1.0625,square,True,True,True
2007_005281,2,1170,0.023317920918367346,2-5%,1170,3659,46517,0.025152094933035236,65,92,158,127,0.3829787234042553,tall,True,True,True
2007_005294,1,23045,0.4592833227040816,>=40%,23045,1223,48953,0.47075766551590303,0,45,223,223,0.7991071428571429,square,True,True,True
2007_005296,2,860,0.017139668367346938,<2%,860,889,49287,0.01744882017570556,162,0,203,26,0.6428571428571429,tall,True,True,True
2007_005331,2,3114,0.06206154336734694,5-10%,3114,5012,45164,0.06894872021964396,3,97,152,168,0.48,tall,True,True,True
2007_005331,3,934,0.018614477040816327,<2%,934,5012,45164,0.020680187760162963,10,62,35,107,1.7692307692307692,wide,True,True,True
2007_005331,5,713,0.01420998086734694,<2%,713,5012,45164,0.01578690992826145,7,0,38,26,0.84375,square,True,True,True
2007_005354,2,9703,0.19337930484693877,10-20%,9703,2514,47662,0.2035793714069909,60,0,223,96,0.5914634146341463,tall,True,True,True
2007_005360,1,16628,0.33139349489795916,20-40%,16628,1928,48248,0.3446360470900348,66,0,162,223,2.3092783505154637,wide,True,True,True
2007_005368,2,31652,0.6308195153061225,>=40%,31652,3510,46666,0.6782668323833198,0,20,223,214,0.8705357142857143,square,True,True,True
2007_005702,2,15544,0.30978954081632654,20-40%,15544,5263,44913,0.34609133213100884,0,46,223,219,0.7767857142857143,square,True,True,True
2007_005797,3,2227,0.04438376913265306,2-5%,2227,3398,46778,0.047607849843943735,0,17,80,60,0.5432098765432098,tall,True,True,True
2007_005813,2,1241,0.02473294005102041,2-5%,1241,4296,45880,0.02704882301656495,108,73,175,135,0.9264705882352942,square,True,True,True
2007_005845,1,5872,0.11702806122448979,10-20%,5872,1676,48500,0.1210721649484536,148,0,223,119,1.5789473684210527,wide,True,True,True
2007_005911,1,30411,0.606086575255102,>=40%,30411,1095,49081,0.6196084024367882,32,0,186,223,1.4451612903225806,square,True,True,True
2007_005951,2,2821,0.05622209821428571,5-10%,2821,2184,47992,0.0587806301050175,23,169,164,223,0.3873239436619718,tall,True,True,True
2007_005989,2,2692,0.05365114795918367,5-10%,2692,2303,47873,0.056232114135316355,58,100,153,169,0.7291666666666666,square,True,True,True
2007_006151,2,2594,0.05169802295918367,5-10%,2594,5286,44890,0.05778569837380263,59,34,180,87,0.4426229508196721,tall,True,True,True
2007_006277,1,20518,0.4089205994897959,>=40%,20518,1520,48656,0.4216951660637948,45,1,189,223,1.5379310344827586,wide,True,True,True
2007_006409,2,938,0.018694196428571428,<2%,938,2113,48063,0.019516051848615358,84,0,150,29,0.44776119402985076,tall,True,True,True
2007_006660,1,5826,0.11611128826530612,10-20%,5826,2239,47937,0.12153451404969022,153,0,210,136,2.3620689655172415,wide,True,True,True
2007_006699,2,20378,0.4061304209183674,>=40%,20378,1376,48800,0.41758196721311475,0,23,124,223,1.608,wide,True,True,True
2007_006900,3,857,0.01707987882653061,<2%,857,2260,47916,0.01788546623257367,72,0,118,33,0.723404255319149,square,True,True,True
2007_006944,1,6142,0.12240911989795919,10-20%,6142,2806,47370,0.1296601224403631,106,0,194,85,0.9662921348314607,square,True,True,True
2007_007007,3,7910,0.15764508928571427,10-20%,7910,4891,45285,0.1746715247874572,114,107,223,223,1.0636363636363637,square,True,True,True
2007_007109,1,24653,0.4913305165816326,>=40%,24653,3328,46848,0.5262337773224044,1,46,223,223,0.7982062780269058,square,True,True,True
2007_007130,2,1355,0.027004942602040817,2-5%,1355,3469,46707,0.029010640803305714,48,99,93,136,0.8260869565217391,square,True,True,True
2007_007154,1,16187,0.32260443239795916,20-40%,16187,1669,48507,0.33370441379594695,0,42,223,151,0.49107142857142855,tall,True,True,True
2007_007165,1,2705,0.05391023596938776,5-10%,2705,782,49394,0.054763736486212904,182,115,223,215,2.4047619047619047,wide,True,True,True
2007_007168,1,23856,0.47544642857142855,>=40%,23856,2610,47566,0.5015347096665685,24,29,214,223,1.0209424083769634,square,True,True,True
2007_007230,1,3555,0.07085060586734694,5-10%,3555,1956,48220,0.07372459560348403,75,122,172,177,0.5714285714285714,tall,True,True,True
2007_007235,1,3738,0.07449776785714286,5-10%,3738,6870,43306,0.08631598392832401,81,37,185,190,1.4666666666666666,square,True,True,True
2007_007414,2,5631,0.1122249681122449,10-20%,5631,1033,49143,0.11458396923264758,74,72,133,204,2.216666666666667,wide,True,True,True
2007_007415,2,13864,0.2763073979591837,20-40%,13864,2225,47951,0.2891284853287731,62,0,168,223,2.0934579439252334,wide,True,True,True
2007_007498,2,22914,0.45667251275510207,>=40%,22914,6219,43957,0.5212821621129741,0,36,223,223,0.8392857142857143,square,True,True,True
2007_007534,1,10312,0.20551658163265307,20-40%,10312,2390,47786,0.21579542125308668,93,85,223,214,0.9923664122137404,square,True,True,True
2007_007621,1,2635,0.05251514668367347,5-10%,2635,1224,48952,0.053828239908481776,62,144,119,206,1.0862068965517242,square,True,True,True
2007_007688,1,30827,0.6143773915816326,>=40%,30827,2903,47273,0.6521058532354621,0,0,223,223,1.0,square,True,True,True
2007_007818,1,807,0.016083386479591837,<2%,807,1430,48746,0.01655520452960243,67,157,99,184,0.8484848484848485,square,True,True,True
2007_007836,3,1574,0.031369579081632654,2-5%,1574,4088,46088,0.03415205693455997,70,177,156,223,0.5402298850574713,tall,True,True,True
2007_007902,2,7999,0.1594188456632653,10-20%,7999,2005,48171,0.1660542650142202,34,0,189,98,0.6346153846153846,tall,True,True,True
2007_007902,4,1839,0.03665098852040816,2-5%,1839,2005,48171,0.03817649623217288,29,0,90,79,1.2903225806451613,square,True,True,True
2007_007996,4,4149,0.0826889349489796,5-10%,4149,6816,43360,0.09568726937269373,145,76,223,182,1.3544303797468353,square,True,True,True
2007_008051,1,12269,0.24451929209183673,20-40%,12269,1198,48978,0.25050022459063254,67,42,223,174,0.8471337579617835,square,True,True,True
2007_008110,1,1282,0.025550063775510203,2-5%,1282,3815,46361,0.027652552792217597,87,58,131,122,1.4444444444444444,square,True,True,True
2007_008110,3,7106,0.14162149234693877,10-20%,7106,3815,46361,0.15327538232566165,49,36,223,142,0.6114285714285714,tall,True,True,True
2007_008110,4,1469,0.029276945153061226,2-5%,1469,3815,46361,0.03168611548499817,32,183,113,221,0.47560975609756095,tall,True,True,True
2007_008204,2,9117,0.1817004145408163,10-20%,9117,1672,48504,0.18796387926768926,67,147,195,223,0.5968992248062015,tall,True,True,True
2007_008260,2,36692,0.7312659438775511,>=40%,36692,945,49231,0.7453027563933294,0,0,223,223,1.0,square,True,True,True
2007_008407,2,872,0.017378826530612245,<2%,872,4812,45364,0.019222290803280133,94,170,129,197,0.7777777777777778,square,True,True,True
2007_008407,3,786,0.015664859693877552,<2%,786,4812,45364,0.017326514416718102,186,173,223,223,1.3421052631578947,square,True,True,True
2007_008526,5,1129,0.022500797193877552,2-5%,1129,2676,47500,0.023768421052631578,67,57,129,92,0.5714285714285714,tall,True,True,True
2007_008543,3,2964,0.059072066326530615,5-10%,2964,1455,48721,0.060836189733379856,180,103,223,223,2.75,wide,True,True,True
2007_008547,4,881,0.017558195153061226,<2%,881,6807,43369,0.020314049205653807,103,0,160,36,0.6379310344827587,tall,True,True,True
2007_008778,1,2211,0.044064891581632654,2-5%,2211,1373,48803,0.04530459193082392,1,182,88,215,0.38636363636363635,tall,True,True,True
2007_008778,2,3085,0.06148357780612245,5-10%,3085,1373,48803,0.06321332704956663,5,0,223,72,0.3333333333333333,tall,True,True,True
2007_008945,1,18217,0.36306202168367346,20-40%,18217,12468,37708,0.48310703299034685,124,0,223,223,2.24,wide,True,True,True
2007_008973,1,9117,0.1817004145408163,10-20%,9117,1514,48662,0.18735358185031442,31,127,182,223,0.6381578947368421,tall,True,True,True
2007_008994,2,2223,0.04430404974489796,2-5%,2223,2899,47277,0.047020750047591854,94,0,203,41,0.38181818181818183,tall,True,True,True
2007_009068,1,1753,0.03493702168367347,2-5%,1753,3109,47067,0.037244778719697454,180,170,222,223,1.255813953488372,square,True,True,True
2007_009139,2,2503,0.049884406887755105,2-5%,2503,6316,43860,0.05706794345645235,0,19,119,60,0.35,tall,True,True,True
2007_009139,5,970,0.019331951530612245,<2%,970,6316,43860,0.022115823073415412,0,74,46,113,0.851063829787234,square,True,True,True
2007_009331,4,939,0.018714126275510203,<2%,939,2767,47409,0.01980636587989622,118,117,156,177,1.564102564102564,wide,True,True,True
2007_009346,2,5708,0.11375956632653061,10-20%,5708,2173,48003,0.1189092348394892,63,108,187,219,0.896,square,True,True,True
2007_009413,2,1200,0.02391581632653061,2-5%,1200,8904,41272,0.029075402209730566,52,107,106,149,0.7818181818181819,square,True,True,True
2007_009435,2,7318,0.1458466198979592,10-20%,7318,1358,48818,0.14990372403621616,94,0,191,110,1.1326530612244898,square,True,True,True
2007_009458,2,1158,0.02307876275510204,2-5%,1158,1341,48835,0.0237125012798198,2,54,39,96,1.131578947368421,square,True,True,True
2007_009458,3,882,0.017578125,<2%,882,1341,48835,0.018060817036961194,9,98,39,133,1.1612903225806452,square,True,True,True
2007_009458,7,600,0.011957908163265306,<2%,600,1341,48835,0.012286270093170881,0,190,22,223,1.4782608695652173,square,True,True,True
2007_009550,5,977,0.019471460459183673,<2%,977,3727,46449,0.021033822041378717,181,190,223,222,0.7674418604651163,square,True,True,True
2007_009649,4,1322,0.026347257653061226,2-5%,1322,7889,42287,0.03126256296261262,82,82,150,137,0.8115942028985508,square,True,True,True
2007_009649,7,8200,0.1634247448979592,10-20%,8200,7889,42287,0.1939130229148438,52,0,223,165,0.9651162790697675,square,True,True,True
2007_009665,2,919,0.018315529336734693,<2%,919,1937,48239,0.019050975351893696,114,0,172,21,0.3728813559322034,tall,True,True,True
2007_009764,1,12405,0.2472297512755102,20-40%,12405,1499,48677,0.25484314974217803,77,106,204,223,0.921875,square,True,True,True
2007_009950,2,1585,0.03158880739795918,2-5%,1585,1209,48967,0.032368738129760856,77,104,130,142,0.7222222222222222,square,True,True,True
2008_000009,1,693,0.013811383928571428,<2%,693,565,49611,0.013968676301626655,97,94,130,135,1.2352941176470589,square,True,True,True
2008_000019,1,10795,0.21514269770408162,20-40%,10795,4793,45383,0.23786439856333869,0,29,143,217,1.3125,square,True,True,True
2008_000019,2,5454,0.10869738520408163,10-20%,5454,4793,45383,0.1201771588480268,60,53,187,175,0.9609375,square,True,True,True
2008_000120,1,19818,0.3949697066326531,20-40%,19818,4489,45687,0.4337776610414341,38,0,170,218,1.6466165413533835,wide,True,True,True
2008_000182,1,2053,0.040915975765306124,2-5%,2053,492,49684,0.041321149665888415,154,128,208,182,1.0,square,True,True,True
2008_000217,2,14775,0.29446348852040816,20-40%,14775,2116,48060,0.3074282147315855,33,104,223,212,0.5706806282722513,tall,True,True,True
2008_000226,5,1347,0.02684550382653061,2-5%,1347,2194,47982,0.028073027385269476,96,58,127,140,2.59375,wide,True,True,True
2008_000235,1,2263,0.04510124362244898,2-5%,2263,1466,48710,0.046458632724286596,57,137,133,189,0.6883116883116883,square,True,True,True
2008_000259,3,855,0.017040019132653062,<2%,855,2912,47264,0.018089878131347326,89,185,148,213,0.48333333333333334,tall,True,True,True
2008_000270,1,8866,0.1766980229591837,10-20%,8866,3812,46364,0.19122595116901045,86,12,223,186,1.2681159420289856,square,True,True,True
2008_000284,2,926,0.01845503826530612,<2%,926,4550,45626,0.020295445579274974,25,0,188,37,0.23170731707317074,tall,True,True,True
2008_000289,1,8561,0.17061941964285715,10-20%,8561,1084,49092,0.17438686547706347,53,29,223,108,0.4678362573099415,tall,True,True,True
2008_000365,1,4116,0.08203125,5-10%,4116,1516,48660,0.0845869297163995,130,134,222,221,0.946236559139785,square,True,True,True
2008_000400,1,907,0.01807637117346939,<2%,907,571,49605,0.01828444713234553,110,88,154,139,1.1555555555555554,square,True,True,True
2008_000422,1,17313,0.3450454400510204,20-40%,17313,2375,47801,0.3621890755423527,0,16,205,175,0.7766990291262136,square,True,True,True
2008_000464,1,13753,0.2740951849489796,20-40%,13753,1779,48397,0.28417050643634933,13,61,193,199,0.7679558011049724,square,True,True,True
2008_000505,1,19252,0.38368941326530615,20-40%,19252,1295,48881,0.3938544628792373,50,0,223,150,0.867816091954023,square,True,True,True
2008_000540,1,13141,0.261898118622449,20-40%,13141,1191,48985,0.26826579565173014,73,57,222,200,0.96,square,True,True,True
2008_000588,1,7381,0.14710220025510204,10-20%,7381,15002,35174,0.20984249729914142,39,53,190,203,0.993421052631579,square,True,True,True
2008_000711,2,3174,0.06325733418367346,5-10%,3174,3770,46406,0.06839632806102659,27,166,105,223,0.7341772151898734,square,True,True,True
2008_000760,3,767,0.015286192602040817,<2%,767,4273,45903,0.016709147550269046,0,0,72,39,0.547945205479452,tall,True,True,True
2008_000811,1,2076,0.04137436224489796,2-5%,2076,3460,46716,0.044438736193167225,33,150,207,223,0.4228571428571429,tall,True,True,True
2008_000841,1,25991,0.5179966517857143,>=40%,25991,2365,47811,0.5436196691138022,15,0,222,161,0.7788461538461539,square,True,True,True
2008_000992,1,21749,0.43345424107142855,>=40%,21749,1794,48382,0.44952668347732627,17,39,223,219,0.8743961352657005,square,True,True,True
2008_001070,1,5752,0.11463647959183673,10-20%,5752,966,49210,0.11688681162365373,70,66,173,153,0.8461538461538461,square,True,True,True
2008_001112,1,8565,0.17069913903061223,10-20%,8565,1931,48245,0.17753135039900508,69,85,223,191,0.6903225806451613,square,True,True,True
2008_001231,1,1803,0.03593351403061224,2-5%,1803,2273,47903,0.03763856125921132,42,89,137,137,0.5104166666666666,tall,True,True,True
2008_001375,3,5053,0.10070551658163265,10-20%,5053,4730,45446,0.11118690313778991,83,103,160,197,1.2179487179487178,square,True,True,True
2008_001379,1,11084,0.22090242346938777,20-40%,11084,1354,48822,0.2270287984924829,38,41,213,151,0.6306818181818182,tall,True,True,True
2008_001399,1,13599,0.27102598852040816,20-40%,13599,912,49264,0.2760433582331926,92,0,223,146,1.1136363636363635,square,True,True,True
2008_001404,1,9506,0.189453125,10-20%,9506,3315,46861,0.20285525276882696,27,79,223,176,0.49746192893401014,tall,True,True,True
2008_001439,1,4683,0.09333147321428571,5-10%,4683,9356,40820,0.11472317491425772,31,0,213,52,0.2896174863387978,tall,True,True,True
2008_001491,1,13885,0.27672592474489793,20-40%,13885,2605,47571,0.2918795064219798,51,0,171,223,1.8512396694214877,wide,True,True,True
2008_001682,1,3978,0.07928093112244898,5-10%,3978,1253,48923,0.08131144860290661,78,52,178,150,0.9801980198019802,square,True,True,True
2008_001997,4,5113,0.10190130739795919,10-20%,5113,2389,47787,0.10699562642559692,101,53,223,144,0.7479674796747967,square,True,True,True
2008_002032,1,994,0.019810267857142856,<2%,994,5928,44248,0.022464292171397577,7,0,223,22,0.10599078341013825,tall,True,True,True
2008_002123,2,860,0.017139668367346938,<2%,860,6121,44055,0.019521053228918398,64,187,132,212,0.37681159420289856,tall,True,True,True
2008_002212,2,1459,0.02907764668367347,2-5%,1459,2179,47997,0.03039773319165781,87,35,144,73,0.6724137931034483,square,True,True,True
2008_002212,3,862,0.01717952806122449,<2%,862,2179,47997,0.01795945579932079,52,58,96,95,0.8444444444444444,square,True,True,True
2008_002218,3,9601,0.1913464604591837,10-20%,9601,3231,46945,0.20451592288848652,42,110,184,215,0.7412587412587412,square,True,True,True
2008_002288,1,10739,0.2140266262755102,20-40%,10739,1693,48483,0.22150031969968856,86,74,223,218,1.0507246376811594,square,True,True,True
2008_002411,1,2783,0.05546476403061224,5-10%,2783,3243,46933,0.059297296145569216,119,64,210,159,1.0434782608695652,square,True,True,True
2008_002536,2,854,0.017020089285714284,<2%,854,2837,47339,0.01804009379158833,62,196,130,223,0.4057971014492754,tall,True,True,True
2008_002623,1,4834,0.09634088010204081,5-10%,4834,811,49365,0.0979236301022992,167,0,223,207,3.6491228070175437,wide,True,True,True
2008_002681,1,10264,0.20455994897959184,20-40%,10264,1290,48886,0.20995786114634046,44,99,223,194,0.5333333333333333,tall,True,True,True
