image,instance_id,area_px,area_fraction,area_bin,k,void_px,population_n,random_baseline,bbox_top,bbox_left,bbox_bottom,bbox_right,aspect_ratio,aspect_class,queryable_grid7,queryable_grid14,measurable_by_all,model,condition,query_row,query_col,precision_at_k,mass_fraction,status,error
2007_001239,2,5715,0.11389907525510204,10-20%,5715,3195,46981,0.1216449202869245,83,100,223,187,0.624113475177305,tall,True,True,True,deit_s,pretrained,9,9,0.3464566929133858,0.3707526623999577,ok,
2007_001299,3,2434,0.048509247448979595,2-5%,2434,3838,46338,0.05252708360309034,97,167,204,210,0.4074074074074074,tall,True,True,True,deit_s,pretrained,9,11,0.42892358258011504,0.3297980944269782,ok,
2007_001311,4,2302,0.04587850765306122,2-5%,2302,5807,44369,0.05188307151389484,134,60,223,148,0.9888888888888889,square,True,True,True,deit_s,pretrained,11,6,0.37662901824500433,0.24237693079309847,ok,
2007_001340,3,3959,0.07890226403061225,5-10%,3959,3801,46375,0.08536927223719677,85,62,222,113,0.37681159420289856,tall,True,True,True,deit_s,pretrained,9,5,0.36423339227077545,0.2351570576132196,ok,
2007_001408,6,763,0.015206473214285714,<2%,763,2986,47190,0.01616867980504344,0,87,30,121,1.1290322580645162,square,True,True,True,deit_s,pretrained,0,6,0.39580602883355176,0.22406673925190257,ok,
2007_001430,2,3188,0.06353635204081633,5-10%,3188,3238,46938,0.0679193830158933,93,26,177,98,0.8588235294117647,square,True,True,True,deit_s,pretrained,8,4,0.3127352572145546,0.2510348271335379,ok,
2007_001430,4,7230,0.14409279336734693,10-20%,7230,3238,46938,0.15403297967531637,92,111,223,205,0.7196969696969697,square,True,True,True,deit_s,pretrained,10,10,0.27081604426002764,0.3072490420446924,ok,
2007_001430,6,2100,0.04185267857142857,2-5%,2100,3238,46938,0.04473986961523712,0,153,47,208,1.1666666666666667,square,True,True,True,deit_s,pretrained,1,11,0.46714285714285714,0.26315288383970353,ok,
2007_001458,1,16567,0.33017777423469385,20-40%,16567,1605,48571,0.34108830372032695,84,17,200,204,1.606837606837607,wide,True,True,True,deit_s,pretrained,8,6,0.6007726202692099,0.687528629527691,ok,
2007_001594,1,835,0.016641422193877552,<2%,835,2767,47409,0.017612689573709633,102,127,137,165,1.0833333333333333,square,True,True,True,deit_s,pretrained,7,9,0.5461077844311377,0.23263733470482498,ok,
2007_001595,1,6939,0.13829320790816327,10-20%,6939,1274,48902,0.14189603697190298,97,123,178,223,1.2317073170731707,square,True,True,True,deit_s,pretrained,8,10,0.3088341259547485,0.33657393265116825,ok,
2007_001717,2,4077,0.08125398596938775,5-10%,4077,2931,47245,0.08629484601545137,88,178,223,223,0.3382352941176471,tall,True,True,True,deit_s,pretrained,9,13,0.3509933774834437,0.313971016632409,ok,
2007_001763,3,14795,0.2948620854591837,20-40%,14795,2209,47967,0.3084412200054204,26,0,223,223,1.1313131313131313,square,True,True,True,deit_s,pretrained,4,7,0.6709023318688746,0.7826588616380381,ok,
2007_001857,1,38087,0.7590680803571429,>=40%,38087,1568,48608,0.7835541474654378,7,0,223,223,1.032258064516129,square,True,True,True,deit_s,pretrained,8,6,0.830073253341035,0.9830766845437867,ok,
2007_001857,3,2768,0.055165816326530615,5-10%,2768,1568,48608,0.056945358788676764,0,157,72,210,0.7397260273972602,square,True,True,True,deit_s,pretrained,2,11,0.22471098265895953,0.14055605949310224,ok,
2007_001857,5,1631,0.032505580357142856,2-5%,1631,1568,48608,0.033554147465437785,0,63,59,103,0.6833333333333333,square,True,True,True,deit_s,pretrained,1,5,0.5413856529736358,0.2673827050347325,ok,
2007_001884,3,977,0.019471460459183673,<2%,977,1933,48243,0.020251642725369483,128,148,144,208,3.588235294117647,wide,True,True,True,deit_s,pretrained,8,11,0.2579324462640737,0.13072574988625565,ok,
2007_001901,4,1489,0.029675542091836735,2-5%,1489,3837,46339,0.032132760741492045,126,141,205,183,0.5375,tall,True,True,True,deit_s,pretrained,9,9,0.25050369375419745,0.11962950637743118,ok,
2007_002046,2,15524,0.309390943877551,20-40%,15524,2364,47812,0.32468836275412033,22,0,202,130,0.7237569060773481,square,True,True,True,deit_s,pretrained,6,4,0.5655758825045092,0.5328207028893526,ok,
2007_002055,1,2047,0.04079639668367347,2-5%,2047,2555,47621,0.042985237605258186,150,0,222,51,0.7123287671232876,square,True,True,True,deit_s,pretrained,11,1,0.6038104543234001,0.4891347887989556,ok,
2007_002055,2,4884,0.0973373724489796,5-10%,4884,2555,47621,0.10255979504840301,87,2,223,97,0.7007299270072993,square,True,True,True,deit_s,pretrained,9,3,0.24488124488124488,0.24738828032136143,ok,
2007_002088,1,32167,0.6410833864795918,>=40%,32167,1856,48320,0.6657077814569536,16,0,223,223,1.0769230769230769,square,True,True,True,deit_s,pretrained,8,6,0.8314110734603787,0.8902295735899329,ok,
2007_002120,1,927,0.0184749681122449,<2%,927,2409,47767,0.019406703372621265,23,101,53,170,2.2580645161290325,wide,True,True,True,deit_s,pretrained,2,7,0.5382955771305286,0.2311563853490685,ok,
2007_002216,2,23599,0.47032445790816324,>=40%,23599,1760,48416,0.4874215135492399,67,0,210,206,1.4375,square,True,True,True,deit_s,pretrained,8,6,0.40713589558879615,0.3978620963685948,ok,
2007_002234,2,645,0.012854751275510204,<2%,645,1702,48474,0.013306102240376285,69,0,93,40,1.64,wide,True,True,True,deit_s,pretrained,5,0,0.42170542635658914,0.1384940189988524,ok,
2007_002284,4,823,0.016402264030612245,<2%,823,2323,47853,0.017198503751070987,0,102,37,130,0.7631578947368421,square,True,True,True,deit_s,pretrained,1,7,0.4556500607533414,0.16272945944831535,ok,
2007_002293,1,21109,0.42069913903061223,>=40%,21109,1864,48312,0.43693078324225865,0,0,223,174,0.78125,square,True,True,True,deit_s,pretrained,7,3,0.5256525652565257,0.5571170241469874,ok,
2007_002368,2,1996,0.03977997448979592,2-5%,1996,3660,46516,0.04290996646315246,159,192,223,223,0.49230769230769234,tall,True,True,True,deit_s,pretrained,11,13,0.5060120240480962,0.25732557574528486,ok,
2007_002488,1,3031,0.06040736607142857,5-10%,3031,5841,44335,0.06836585090786061,10,67,176,155,0.5329341317365269,tall,True,True,True,deit_s,pretrained,5,7,0.46354338502144504,0.35371860315780673,ok,
2007_002539,1,43265,0.8622648278061225,>=40%,43265,1230,48946,0.8839333142646999,0,0,222,223,1.0044843049327354,square,True,True,True,deit_s,pretrained,6,5,0.8693863399976887,0.7259625823479425,ok,
2007_002668,1,6318,0.1259167729591837,10-20%,6318,2467,47709,0.13242784380305603,186,17,223,223,5.447368421052632,wide,True,True,True,deit_s,pretrained,13,7,0.27287116176005066,0.268167711465167,ok,
2007_002760,2,21822,0.43490911989795916,>=40%,21822,1937,48239,0.45237256162026573,4,0,197,136,0.7061855670103093,square,True,True,True,deit_s,pretrained,6,3,0.5436256988360371,0.5787036892539438,ok,
2007_002789,2,1372,0.02734375,2-5%,1372,1595,48581,0.02824149358802824,99,0,149,55,1.0980392156862746,square,True,True,True,deit_s,pretrained,7,1,0.5889212827988338,0.2628523747848913,ok,
2007_002896,1,6290,0.12535873724489796,10-20%,6290,1977,48199,0.13050063279321147,6,70,209,148,0.3872549019607843,tall,True,True,True,deit_s,pretrained,5,6,0.5505564387917329,0.5591033175410526,ok,
2007_002903,1,35791,0.7133091517857143,>=40%,35791,2377,47799,0.7487813552584782,13,0,219,223,1.0821256038647342,square,True,True,True,deit_s,pretrained,7,6,0.8564164175351345,0.9113738731631724,ok,
2007_002953,1,1882,0.03750797193877551,2-5%,1882,3475,46701,0.04029892293526905,63,0,196,16,0.12686567164179105,tall,True,True,True,deit_s,pretrained,8,0,0.40435706695005313,0.2535913513013995,ok,
2007_002953,5,1147,0.02285953443877551,2-5%,1147,3475,46701,0.024560501916447184,38,17,75,56,1.0526315789473684,square,True,True,True,deit_s,pretrained,3,2,0.3435047951176983,0.12705207497936974,ok,
2007_003022,1,7396,0.1474011479591837,10-20%,7396,3575,46601,0.15870904057852836,57,48,193,223,1.2846715328467153,square,True,True,True,deit_s,pretrained,7,8,0.40981611681990265,0.3717568499187302,ok,
2007_003051,1,8921,0.1777941645408163,10-20%,8921,982,49194,0.18134325324226533,56,0,138,133,1.6144578313253013,wide,True,True,True,deit_s,pretrained,6,3,0.2941374285394014,0.2932162328862939,ok,
2007_003101,3,14896,0.296875,20-40%,14896,1861,48315,0.30831004863913897,0,0,199,84,0.425,tall,True,True,True,deit_s,pretrained,6,2,0.5130907626208379,0.5210480674252357,ok,
2007_003118,1,1490,0.02969547193877551,2-5%,1490,2677,47499,0.03136908145434641,15,85,72,135,0.8793103448275862,square,True,True,True,deit_s,pretrained,2,6,0.4865771812080537,0.38432431501679276,ok,
2007_003118,4,18444,0.36758609693877553,20-40%,18444,2677,47499,0.38830291164024505,49,29,223,204,1.0057142857142858,square,True,True,True,deit_s,pretrained,9,6,0.6157558013446107,0.6784904135006599,ok,
2007_003131,1,1544,0.03077168367346939,2-5%,1544,638,49538,0.031167992248374986,150,172,219,217,0.6571428571428571,tall,True,True,True,deit_s,pretrained,12,12,0.4579015544041451,0.2885345707307638,ok,
2007_003134,2,5961,0.11880181760204081,10-20%,5961,3586,46590,0.12794591113972956,45,61,173,140,0.6201550387596899,tall,True,True,True,deit_s,pretrained,6,5,0.4170441201140748,0.3785096802092728,ok,
2007_003189,2,1134,0.022600446428571428,2-5%,1134,1947,48229,0.023512824234381804,19,82,122,136,0.5288461538461539,tall,True,True,True,deit_s,pretrained,3,6,0.48324514991181655,0.1891514328644487,ok,
2007_003190,1,2678,0.05337213010204082,5-10%,2678,3753,46423,0.057686922430691685,0,59,84,168,1.2941176470588236,square,True,True,True,deit_s,pretrained,1,5,0.438386855862584,0.2641145628618553,ok,
2007_003201,1,4751,0.09468670280612244,5-10%,4751,4201,45975,0.10333877107123436,38,0,179,49,0.352112676056338,tall,True,True,True,deit_s,pretrained,6,1,0.4687434224373816,0.4137133641898548,ok,
2007_003201,2,20600,0.41055484693877553,>=40%,20600,4201,45975,0.4480696030451332,20,32,209,223,1.0105263157894737,square,True,True,True,deit_s,pretrained,5,8,0.6896116504854369,0.8156085634284671,ok,
2007_003207,9,2079,0.04143415178571429,2-5%,2079,3449,46727,0.04449247758255399,83,150,167,181,0.3764705882352941,tall,True,True,True,deit_s,pretrained,8,10,0.3862433862433862,0.25457662838574974,ok,
2007_003251,4,1296,0.025829081632653062,2-5%,1296,4492,45684,0.028368794326241134,106,29,195,91,0.7,square,True,True,True,deit_s,pretrained,9,3,0.22299382716049382,0.13615143944697955,ok,
2007_003367,3,901,0.017956792091836735,<2%,901,3657,46519,0.019368430103828542,127,0,177,25,0.5098039215686274,tall,True,True,True,deit_s,pretrained,9,0,0.6104328523862376,0.1968252111503453,ok,
2007_003451,1,3878,0.07728794642857142,5-10%,3878,1762,48414,0.08010079729004008,105,104,151,215,2.382978723404255,wide,True,True,True,deit_s,pretrained,7,9,0.61397627643115,0.492515585015362,ok,
2007_003580,1,31141,0.6206353635204082,>=40%,31141,1762,48414,0.643223034659396,0,0,223,198,0.8883928571428571,square,True,True,True,deit_s,pretrained,7,6,0.7108956038662856,0.821141723282362,ok,
2007_003711,2,20428,0.40712691326530615,>=40%,20428,1643,48533,0.4209094842684359,49,59,194,223,1.13013698630137,square,True,True,True,deit_s,pretrained,7,8,0.497454474251028,0.519004712672812,ok,
2007_003778,1,13727,0.27357700892857145,20-40%,13727,3127,47049,0.29175965482794536,30,18,206,197,1.0169491525423728,square,True,True,True,deit_s,pretrained,7,7,0.5846142638595468,0.6119432780041396,ok,
2007_003815,1,6980,0.13911033163265307,10-20%,6980,2124,48052,0.14525930242237575,74,70,138,223,2.3692307692307693,wide,True,True,True,deit_s,pretrained,6,8,0.2656160458452722,0.28714422543533713,ok,
2007_004081,1,2169,0.04322783801020408,2-5%,2169,5393,44783,0.04843355737668312,57,70,121,159,1.3846153846153846,square,True,True,True,deit_s,pretrained,4,6,0.5292761641309359,0.38832625013842453,ok,
2007_004121,3,994,0.019810267857142856,<2%,994,1822,48354,0.020556727468254953,96,55,147,93,0.75,square,True,True,True,deit_s,pretrained,7,4,0.36619718309859156,0.1547913374946504,ok,
2007_004537,4,1619,0.03226642219387755,2-5%,1619,7559,42617,0.037989534692728255,53,50,118,167,1.7878787878787878,wide,True,True,True,deit_s,pretrained,4,8,0.22297714638665844,0.1786821661532313,ok,
2007_004558,2,870,0.017338966836734693,<2%,870,2181,47995,0.01812688821752266,61,87,99,119,0.8461538461538461,square,True,True,True,deit_s,pretrained,5,6,0.5241379310344828,0.2638714647323001,ok,
2007_004649,2,894,0.017817283163265307,<2%,894,2187,47989,0.018629269207526725,90,204,137,223,0.4166666666666667,tall,True,True,True,deit_s,pretrained,7,13,0.34563758389261745,0.13401832719112114,ok,
2007_004707,1,879,0.017518335459183673,<2%,879,1199,48977,0.01794719970598444,175,147,223,191,0.9183673469387755,square,True,True,True,deit_s,pretrained,12,10,0.447098976109215,0.14134873250385702,ok,
2007_004856,1,26887,0.5358537946428571,>=40%,26887,1539,48637,0.5528095894072415,0,24,223,199,0.7857142857142857,square,True,True,True,deit_s,pretrained,7,6,0.5222598281697475,0.5249060566041647,ok,
2007_005074,1,10711,0.2134685905612245,20-40%,10711,2530,47646,0.22480376107123368,0,0,193,200,1.0360824742268042,square,True,True,True,deit_s,pretrained,9,5,0.41275324432826066,0.4203044764896677,ok,
2007_005130,1,5057,0.10078523596938775,10-20%,5057,968,49208,0.10276784262721508,60,52,192,147,0.7218045112781954,square,True,True,True,deit_s,pretrained,7,6,0.519477951354558,0.5053619825809801,ok,
2007_005173,12,990,0.019730548469387755,<2%,990,6789,43387,0.022817894761103557,1,189,56,221,0.5892857142857143,tall,True,True,True,deit_s,pretrained,1,12,0.3383838383838384,0.2099737129387904,ok,
2007_005173,14,1217,0.024254623724489797,2-5%,1217,6789,43387,0.028049876691174775,0,51,59,80,0.5,tall,True,True,True,deit_s,pretrained,1,4,0.2514379622021364,0.2457340622028265,ok,
2007_005173,16,624,0.012436224489795918,<2%,624,6789,43387,0.014382188213059212,1,2,36,28,0.75,square,True,True,True,deit_s,pretrained,0,0,0.3685897435897436,0.14548553753708934,ok,
2007_005212,1,1030,0.020527742346938774,2-5%,1030,1721,48455,0.021256836239810135,137,182,175,223,1.0769230769230769,square,True,True,True,deit_s,pretrained,9,12,0.23106796116504855,0.12606243763387295,ok,
2007_005266,2,680,0.013552295918367346,<2%,680,3149,47027,0.014459778425160014,97,68,142,112,0.9782608695652174,square,True,True,True,deit_s,pretrained,7,5,0.5,0.14716142395384185,ok,
2007_005266,3,830,0.016541772959183673,<2%,830,3149,47027,0.017649435430710018,95,140,142,190,1.0625,square,True,True,True,deit_s,pretrained,6,10,0.3168674698795181,0.11645819949235656,ok,
2007_005281,2,1170,0.023317920918367346,2-5%,1170,3659,46517,0.025152094933035236,65,92,158,127,0.3829787234042553,tall,True,True,True,deit_s,pretrained,6,7,0.4444444444444444,0.2174686635810405,ok,
2007_005294,1,23045,0.4592833227040816,>=40%,23045,1223,48953,0.47075766551590303,0,45,223,223,0.7991071428571429,square,True,True,True,deit_s,pretrained,7,8,0.6787589498806682,0.7511793863287245,ok,
2007_005296,2,860,0.017139668367346938,<2%,860,889,49287,0.01744882017570556,162,0,203,26,0.6428571428571429,tall,True,True,True,deit_s,pretrained,11,0,0.36627906976744184,0.1861254003349179,ok,
2007_005331,2,3114,0.06206154336734694,5-10%,3114,5012,45164,0.06894872021964396,3,97,152,168,0.48,tall,True,True,True,deit_s,pretrained,4,8,0.441233140655106,0.3107413631057236,ok,
2007_005331,3,934,0.018614477040816327,<2%,934,5012,45164,0.020680187760162963,10,62,35,107,1.7692307692307692,wide,True,True,True,deit_s,pretrained,1,5,0.4057815845824411,0.1905837273462862,ok,
2007_005331,5,713,0.01420998086734694,<2%,713,5012,45164,0.01578690992826145,7,0,38,26,0.84375,square,True,True,True,deit_s,pretrained,1,0,0.47124824684431976,0.12873305983857053,ok,
2007_005354,2,9703,0.19337930484693877,10-20%,9703,2514,47662,0.2035793714069909,60,0,223,96,0.5914634146341463,tall,True,True,True,deit_s,pretrained,9,2,0.460888385035556,0.41562584897986377,ok,
2007_005360,1,16628,0.33139349489795916,20-40%,16628,1928,48248,0.3446360470900348,66,0,162,223,2.3092783505154637,wide,True,True,True,deit_s,pretrained,7,7,0.5546066875150348,0.5767294827420225,ok,
2007_005368,2,31652,0.6308195153061225,>=40%,31652,3510,46666,0.6782668323833198,0,20,223,214,0.8705357142857143,square,True,True,True,deit_s,pretrained,6,7,0.6910463793757109,0.763381791193535,ok,
2007_005702,2,15544,0.30978954081632654,20-40%,15544,5263,44913,0.34609133213100884,0,46,223,219,0.7767857142857143,square,True,True,True,deit_s,pretrained,5,9,0.4223494595985589,0.5516824392142368,ok,
2007_005797,3,2227,0.04438376913265306,2-5%,2227,3398,46778,0.047607849843943735,0,17,80,60,0.5432098765432098,tall,True,True,True,deit_s,pretrained,2,2,0.5307588684328693,0.31001020634497123,ok,
2007_005813,2,1241,0.02473294005102041,2-5%,1241,4296,45880,0.02704882301656495,108,73,175,135,0.9264705882352942,square,True,True,True,deit_s,pretrained,9,7,0.2401289282836422,0.12370685011910701,ok,
2007_005845,1,5872,0.11702806122448979,10-20%,5872,1676,48500,0.1210721649484536,148,0,223,119,1.5789473684210527,wide,True,True,True,deit_s,pretrained,11,3,0.6445844686648501,0.4759595145850133,ok,
2007_005911,1,30411,0.606086575255102,>=40%,30411,1095,49081,0.6196084024367882,32,0,186,223,1.4451612903225806,square,True,True,True,deit_s,pretrained,6,7,0.557988885600605,0.5814230770179252,ok,
2007_005951,2,2821,0.05622209821428571,5-10%,2821,2184,47992,0.0587806301050175,23,169,164,223,0.3873239436619718,tall,True,True,True,deit_s,pretrained,5,13,0.44842254519673874,0.29500425023647275,ok,
2007_005989,2,2692,0.05365114795918367,5-10%,2692,2303,47873,0.056232114135316355,58,100,153,169,0.7291666666666666,square,True,True,True,deit_s,pretrained,6,8,0.4060178306092125,0.237281684740076,ok,
2007_006151,2,2594,0.05169802295918367,5-10%,2594,5286,44890,0.05778569837380263,59,34,180,87,0.4426229508196721,tall,True,True,True,deit_s,pretrained,7,3,0.3330763299922899,0.21828462345495925,ok,
2007_006277,1,20518,0.4089205994897959,>=40%,20518,1520,48656,0.4216951660637948,45,1,189,223,1.5379310344827586,wide,True,True,True,deit_s,pretrained,7,7,0.3163563700165708,0.28435952870321773,ok,
2007_006409,2,938,0.018694196428571428,<2%,938,2113,48063,0.019516051848615358,84,0,150,29,0.44776119402985076,tall,True,True,True,deit_s,pretrained,8,0,0.5650319829424307,0.18315206811912038,ok,
2007_006660,1,5826,0.11611128826530612,10-20%,5826,2239,47937,0.12153451404969022,153,0,210,136,2.3620689655172415,wide,True,True,True,deit_s,pretrained,11,4,0.3139375214555441,0.28823942329986635,ok,
2007_006699,2,20378,0.4061304209183674,>=40%,20378,1376,48800,0.41758196721311475,0,23,124,223,1.608,wide,True,True,True,deit_s,pretrained,3,8,0.6984493080773383,0.6910227799346137,ok,
2007_006900,3,857,0.01707987882653061,<2%,857,2260,47916,0.01788546623257367,72,0,118,33,0.723404255319149,square,True,True,True,deit_s,pretrained,5,0,0.5064177362893816,0.15069202705568407,ok,
2007_006944,1,6142,0.12240911989795919,10-20%,6142,2806,47370,0.1296601224403631,106,0,194,85,0.9662921348314607,square,True,True,True,deit_s,pretrained,9,2,0.5140019537609899,0.397132140407324,ok,
2007_007007,3,7910,0.15764508928571427,10-20%,7910,4891,45285,0.1746715247874572,114,107,223,223,1.0636363636363637,square,True,True,True,deit_s,pretrained,10,11,0.48166877370417194,0.4302763679871871,ok,
2007_007109,1,24653,0.4913305165816326,>=40%,24653,3328,46848,0.5262337773224044,1,46,223,223,0.7982062780269058,square,True,True,True,deit_s,pretrained,6,8,0.7496856366365148,0.7776030713114417,ok,
2007_007130,2,1355,0.027004942602040817,2-5%,1355,3469,46707,0.029010640803305714,48,99,93,136,0.8260869565217391,square,True,True,True,deit_s,pretrained,4,7,0.203690036900369,0.21493769188958875,ok,
2007_007154,1,16187,0.32260443239795916,20-40%,16187,1669,48507,0.33370441379594695,0,42,223,151,0.49107142857142855,tall,True,True,True,deit_s,pretrained,7,6,0.4650027800086489,0.5233207645721157,ok,
2007_007165,1,2705,0.05391023596938776,5-10%,2705,782,49394,0.054763736486212904,182,115,223,215,2.4047619047619047,wide,True,True,True,deit_s,pretrained,12,10,0.5426987060998152,0.3351686674236976,ok,
2007_007168,1,23856,0.47544642857142855,>=40%,23856,2610,47566,0.5015347096665685,24,29,214,223,1.0209424083769634,square,True,True,True,deit_s,pretrained,8,7,0.5647635814889336,0.5568874181613105,ok,
2007_007230,1,3555,0.07085060586734694,5-10%,3555,1956,48220,0.07372459560348403,75,122,172,177,0.5714285714285714,tall,True,True,True,deit_s,pretrained,7,9,0.560337552742616,0.34884789326899684,ok,
2007_007235,1,3738,0.07449776785714286,5-10%,3738,6870,43306,0.08631598392832401,81,37,185,190,1.4666666666666666,square,True,True,True,deit_s,pretrained,9,8,0.17549491706795078,0.16004510196544755,ok,
2007_007414,2,5631,0.1122249681122449,10-20%,5631,1033,49143,0.11458396923264758,74,72,133,204,2.216666666666667,wide,True,True,True,deit_s,pretrained,6,8,0.2937311312377908,0.43621421866853777,ok,
2007_007415,2,13864,0.2763073979591837,20-40%,13864,2225,47951,0.2891284853287731,62,0,168,223,2.0934579439252334,wide,True,True,True,deit_s,pretrained,7,6,0.5562608193883439,0.6374170942956071,ok,
2007_007498,2,22914,0.45667251275510207,>=40%,22914,6219,43957,0.5212821621129741,0,36,223,223,0.8392857142857143,square,True,True,True,deit_s,pretrained,9,9,0.6869599371563236,0.8208633719073771,ok,
2007_007534,1,10312,0.20551658163265307,20-40%,10312,2390,47786,0.21579542125308668,93,85,223,214,0.9923664122137404,square,True,True,True,deit_s,pretrained,10,10,0.6473041117145074,0.6726578519632682,ok,
2007_007621,1,2635,0.05251514668367347,5-10%,2635,1224,48952,0.053828239908481776,62,144,119,206,1.0862068965517242,square,True,True,True,deit_s,pretrained,5,10,0.38671726755218216,0.258563643091433,ok,
2007_007688,1,30827,0.6143773915816326,>=40%,30827,2903,47273,0.6521058532354621,0,0,223,223,1.0,square,True,True,True,deit_s,pretrained,8,7,0.7323774613163785,0.7828797735276776,ok,
2007_007818,1,807,0.016083386479591837,<2%,807,1430,48746,0.01655520452960243,67,157,99,184,0.8484848484848485,square,True,True,True,deit_s,pretrained,5,10,0.5315985130111525,0.1570968599889862,ok,
2007_007836,3,1574,0.031369579081632654,2-5%,1574,4088,46088,0.03415205693455997,70,177,156,223,0.5402298850574713,tall,True,True,True,deit_s,pretrained,6,13,0.23570520965692504,0.13815091021143652,ok,
2007_007902,2,7999,0.1594188456632653,10-20%,7999,2005,48171,0.1660542650142202,34,0,189,98,0.6346153846153846,tall,True,True,True,deit_s,pretrained,7,2,0.34129266158269783,0.3024228197659429,ok,
2007_007902,4,1839,0.03665098852040816,2-5%,1839,2005,48171,0.03817649623217288,29,0,90,79,1.2903225806451613,square,True,True,True,deit_s,pretrained,3,2,0.1653072321914084,0.11917097690465893,ok,
2007_007996,4,4149,0.0826889349489796,5-10%,4149,6816,43360,0.09568726937269373,145,76,223,182,1.3544303797468353,square,True,True,True,deit_s,pretrained,11,8,0.44420342251144856,0.48485292071526576,ok,
2007_008051,1,12269,0.24451929209183673,20-40%,12269,1198,48978,0.25050022459063254,67,42,223,174,0.8471337579617835,square,True,True,True,deit_s,pretrained,9,6,0.44812128127801776,0.4190640310714599,ok,
2007_008110,1,1282,0.025550063775510203,2-5%,1282,3815,46361,0.027652552792217597,87,58,131,122,1.4444444444444444,square,True,True,True,deit_s,pretrained,7,5,0.44773790951638065,0.237617435062055,ok,
2007_008110,3,7106,0.14162149234693877,10-20%,7106,3815,46361,0.15327538232566165,49,36,223,142,0.6114285714285714,tall,True,True,True,deit_s,pretrained,8,5,0.3603996622572474,0.32144947893784237,ok,
2007_008110,4,1469,0.029276945153061226,2-5%,1469,3815,46361,0.03168611548499817,32,183,113,221,0.47560975609756095,tall,True,True,True,deit_s,pretrained,3,12,0.4240980258679374,0.2880223716558453,ok,
